,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10
1,4200.394639504065,-77.28529788618472,-98.42809080813946,102.88312193518725,-18.460689689618576,-27.454684467012278,23.757676389120725,-8.797572019034098,-1.5711115919067713,-0.4355472662433866
2,10000.272914766452,-39.25107739074176,-114.80155129350668,99.49789213781986,-21.741820485417403,-27.6921277859314,28.01419969721998,-8.337293987341596,-0.8230229830666922,-0.807756810083115
3,10000.272914766452,-39.25107739074176,-114.80155129350668,99.49789213781986,-21.741820485417403,-27.6921277859314,28.01419969721998,-8.337293987341596,-0.8230229830666922,-0.807756810083115
4,3000.3543484296356,-85.51154756875812,-108.70041691019276,116.47293673211887,-19.834400247803988,-27.660218578631877,26.05748462588205,-8.638995790900479,-0.47214730367410185,-0.5519627983963618
5,3000.3543484296356,-85.51154756875812,-108.70041691019276,116.47293673211887,-19.834400247803988,-27.660218578631877,26.05748462588205,-8.638995790900479,-0.47214730367410185,-0.5519627983963618
6,3000.3543484296356,-85.51154756875812,-108.70041691019276,116.47293673211887,-19.834400247803988,-27.660218578631877,26.05748462588205,-8.638995790900479,-0.47214730367410185,-0.5519627983963618
7,3500.428836963677,-89.56587589621002,-106.37385474576575,113.05593972411205,-17.494029665323655,-27.866994999470744,26.692549952526686,-8.901841220463293,-1.2816151560933264,-1.2532860677478632
8,8000.523074034407,-68.05697491206492,-95.84901758570724,91.94912144147035,-17.3312887632929,-26.247886450236166,24.184016456079135,-9.730029134395242,-0.81338391760825,-0.6542761416870368
9,8000.523074034407,-68.05697491206492,-95.84901758570724,91.94912144147035,-17.3312887632929,-26.247886450236166,24.184016456079135,-9.730029134395242,-0.81338391760825,-0.6542761416870368
10,8000.523074034407,-68.05697491206492,-95.84901758570724,91.94912144147035,-17.3312887632929,-26.247886450236166,24.184016456079135,-9.730029134395242,-0.81338391760825,-0.6542761416870368
11,8000.070256094339,-30.447566196768232,-120.20797542255721,96.37365770543599,-19.302628065781715,-27.227516768556526,24.084414498445554,-9.677875784613729,-1.4641213638207138,-0.6487990560708676
12,8000.523074034407,-68.05697491206492,-95.84901758570724,91.94912144147035,-17.3312887632929,-26.247886450236166,24.184016456079135,-9.730029134395242,-0.81338391760825,-0.6542761416870368
13,8000.070256094339,-30.447566196768232,-120.20797542255721,96.37365770543599,-19.302628065781715,-27.227516768556526,24.084414498445554,-9.677875784613729,-1.4641213638207138,-0.6487990560708676
14,8000.070260055562,-30.44577839389166,-120.20928586959869,96.38309098395945,-19.306612839705064,-27.20128088065182,24.06616834497754,-9.609243693924881,-1.5278977126954623,-0.6392496671809627
15,8000.070260055562,-30.44577839389166,-120.20928586959869,96.38309098395945,-19.306612839705064,-27.20128088065182,24.06616834497754,-9.609243693924881,-1.5278977126954623,-0.6392496671809627
16,8000.070260055562,-30.44577839389166,-120.20928586959869,96.38309098395945,-19.306612839705064,-27.20128088065182,24.06616834497754,-9.609243693924881,-1.5278977126954623,-0.6392496671809627
18,8000.070260055562,-30.44577839389166,-120.20928586959869,96.38309098395945,-19.306612839705064,-27.20128088065182,24.06616834497754,-9.609243693924881,-1.5278977126954623,-0.6392496671809627
20,8000.523202282488,-68.38346580022109,-96.43829881920986,91.37244385402711,-17.76678385241966,-26.110283980520634,24.11112210846069,-9.57527170682556,-0.9319828922033484,-0.6133531031556212
21,8000.523198321264,-68.38525360309765,-96.43698837216839,91.36301057550365,-17.76279907849634,-26.136519868425342,24.129368261928718,-9.643903797514408,-0.8682065433285999,-0.6229024920455262
