,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10
Age,-0.012619536828015872,-0.8765166374542779,0.236811533343139,0.16157880317924564,0.3207869704006723,-0.21166439693383837,0.006196108380694014,-0.058020845511912944,0.032902642463176056,0.004397411009271516
Sleep Duration,-0.7760372708050622,-0.4615205507038917,-0.07722751264598171,-0.32771408328947005,0.10563237585202138,0.12284844731124885,-0.2169579586376224,0.02978655332251947,0.0036440340640819142,-0.00490124477512069
Quality of Sleep,-0.8029391904250273,-0.5547972416096555,-0.04120597496497401,-0.09975354468692539,0.04320294259884611,0.0060907502644917165,0.1503464193668514,0.05341569942854311,-0.10639433891341926,-0.0005045985802175025
Physical Activity Level,0.1913294439801993,-0.47137959978711663,-0.795988503508107,-0.258068379062784,-0.10711487842472717,-0.03216232853822536,0.032366257743968375,-0.17400279629813534,0.002374824631704348,-0.00019940815658123573
Stress Level,0.7735801970652415,0.5210320260055936,-0.1827200098282247,0.10154640360615896,0.2542382916467214,0.07490661142735355,-0.0800012156518314,-0.06287162509104571,-0.09294470469360935,-0.0014416469851090106
Heart Rate,0.7855392664044366,0.17350131048401773,-0.007967427956900723,-0.5561705804310715,0.16830540782014328,-0.022015283903320335,0.08863590822099239,0.09383476323995059,0.027551263495637666,0.006732657515441994
Daily Steps,0.22005295549109696,-0.20971206268589904,-0.9038577728533536,0.23332492591950152,0.010012459179048755,-0.11220141047163906,-0.04145649921618479,0.15622427382857276,0.0048159464084243314,-0.014205554576621314
Systolic,0.6037231688216336,-0.736612281562514,0.1520466748539245,0.09691287484735397,0.006034699944698743,0.2388985648700178,0.049642801407375106,0.004704507592159606,0.016825613436950153,-0.05807504828808338
Diastolic,0.60763794084784,-0.7648085981698639,0.020496794752252436,0.11598480011867172,-0.0695458281475824,0.1538122467794352,-0.01666160879183511,0.03653968254291165,-0.005893121300523818,0.06833697159127367
BMI_Code,0.7002626983614626,-0.44021451143663476,0.43486868930762596,-0.14992781144356346,-0.21601276315135592,-0.21412669203230783,-0.10314149931441746,0.020091486077766046,-0.057148187553898604,-0.016601644235779707
