,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,C21
bh,0.8256983380724069,-2.2505631073911525,0.9026419557766825,-1.9164728871764023,0.7972483074540943,-1.9304322450307276,2.0051927948266255,0.2700389578216858,1.2594979905657027,0.756937831591531,0.20679254290794025,-0.22079244141142557,0.32476300429476435,-0.6229029771935131,-0.017996228195960993,0.26697826883918596,0.27574067692067267,0.14564830115602062,0.18708366091200462,0.1251653002991922,0.13412034207619897
bn,-1.0915926029290237,-0.1621797951495653,-0.4854289675166962,-1.1357896312371423,-0.10477609076004736,0.4285288405164779,0.1768396669771662,0.6585423778210467,0.7937100510979955,-0.9652283228743792,-0.11796811482156669,-0.2542138715825173,-0.01055336338967849,0.10272889061909699,-0.12095830471667747,0.2507802239658041,0.4802653916289454,-0.1420745563366311,-0.19262373666265104,-0.06194130469144333,0.15747750627792154
cj,4.9153169604789575,-0.7765752684985793,0.8795261999391526,0.7396388481411582,0.023563640226836994,1.0546309282126112,-0.6656586075232261,2.249361215575972,-0.5975387812447195,0.10091965874244341,-0.7938437652671023,-0.041310213527621,0.22067582974867264,0.5610418554813207,0.02014106665283274,0.4567483198283232,-0.06259819717914249,-0.05656759516644253,0.1959310304585588,0.1436929347842659,-0.17399004573645907
mm,-0.6374150783073671,-0.8385960654273729,0.4656515453976818,0.5347308913993108,-0.9159472761358529,1.043505104216916,0.4918628674745621,0.17398635757726494,0.5476842235010698,-0.21060043484282015,-0.5554591362702943,-0.08173593306322514,0.20639542091062787,0.25856424755140195,-0.15232315659759665,-0.30298272998924625,-0.018120955446160172,-0.15576854361968076,-0.05304705828983886,0.018846011023346654,-0.07936978930684353
sm,-1.2209775309628603,-0.17649392872830338,0.7315559818209462,-1.277637462167719,-1.272811899218817,0.5803908685764974,0.7330678179721687,0.3373435343766886,-0.06515436916799623,-0.6854436024732764,-0.4180375984795571,0.17773820731182835,-0.26474328267233915,0.11469664814876565,-0.08787452825371686,-0.08596109608240797,0.030383247636194415,-0.030675052397208278,-0.003049594922934727,-0.07161615475484384,0.2489193243196122
sj,-1.2163562295321697,-0.04695283029395796,1.3626516883019235,-1.270404085950466,0.7447018768522297,-0.6282638895906152,0.8623241113952017,0.04692389654964267,-0.5059487955859933,-0.33526230055264095,-0.38002477568872056,0.04320843048574342,-0.709010147641189,0.03629874961594279,-0.09628078097175304,-0.3439408154692945,-0.23845359116459988,-0.3178260698832091,0.1482853397750332,-0.044139931622140256,-0.115608634277355
ab,0.16597065882026754,-1.0425224917371112,2.366878726776557,-0.8870172828423764,1.3877064580588037,0.9464262123209736,-1.392427699343498,1.120202947314213,-0.4801242454224639,-0.3690217970671873,1.4429341344738784,0.3049666966827307,-0.24628897283456108,-0.3603218882389695,-0.4259005163412182,0.12901073230619375,0.35539606052462586,-0.2965228812780384,-0.14030120996585574,-0.07610606801043683,-0.04417945870573727
bv,4.117063547703753,-0.6283201204453379,-0.44747323500163855,-0.027317391284782114,0.18229292120748483,1.9512109837089904,-0.8544124327648281,-1.7275020085562096,1.3585343606738136,0.7673336304652982,0.12289280419908813,0.7806399094412133,0.17671253522499944,-0.7242759314443789,-0.09086767012012217,0.25683991407581136,-0.5880642551298864,-0.061845223334155215,0.19417388301721022,-0.06140189561282673,-0.014213762366128866
cv,-0.6777549698381712,-1.9334374954466182,1.5595723792589409,-1.1031887292573275,1.8191610437259778,-0.28466190754811194,-0.1519543856337075,-0.5922976587672442,0.1610752423382002,1.495045739615206,-0.6621004211685239,-0.5425937431860157,-0.1681647337478848,-0.037895092853630734,-0.08730402947266816,-0.35748198461512076,0.00508961171353635,0.34506962594058516,-0.1770228092770092,0.05619654760193529,-0.16782789858162872
hr,-0.9864886565828161,-0.8020024082630222,1.6033354592297644,-0.006728175986058823,0.06598207718022844,0.7007287810820416,0.9503340318888842,-0.457879706395391,-1.1456077420207202,-0.3564104552937411,-0.4797850308223369,-0.2041292717582416,0.4509166754127542,-0.22343467944925585,-0.1261134001193191,-0.11408853878374706,-0.324961994072394,-0.2892672362248874,-0.0450212549127235,-0.17156967048381486,0.008251026898474975
ms,0.459587927364919,-1.0141285795119919,1.3216657386480812,-0.8446826976099467,0.11522476096233175,0.7972025274784754,0.05089472401176558,0.29331087991073757,0.03769677888229154,0.09866167786151799,-0.6949849049023787,-0.07157149559342364,-1.4943133489018847,0.11742689028631641,0.19019077619914,0.07058908328034298,-0.3965021362360388,-0.0048765998062938075,-0.06335300127365988,0.270394647777883,0.06965887532428607
sb,3.489522164259211,-1.7239406075106183,0.4112033611536575,-1.7037709635006166,-0.4760762530033038,1.136361510939313,-2.306899331051891,-0.9280563966860029,0.35787329018001535,-1.268513602594595,-0.056626995095561565,0.43946614901559145,-0.009852028911763873,0.19333387449908315,-0.030311696448485956,-0.04645711538662506,0.20399408361566118,0.38855717006280444,0.270632106393103,0.0068355971545480875,0.11352289151623567
