,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,C21
bh,0.26369074349731964,-1.4737059067673848,0.6694916041391812,-1.4818975742376366,0.7630016570894121,-1.9622031024393445,2.2318551784062484,0.3320939747213129,1.7368433274069441,1.2056465915827186,0.3524023206966453,-0.43535462471327574,0.7036378085927268,-1.4776079257364738,-0.04879854429185436,0.7793555312355805,0.9647973366249645,0.662211752419898,1.0312740932285647,0.9970423784203033,1.2167084287951175
bn,-0.34860535838608797,-0.10619800941609377,-0.3600437760271621,-0.8782403918348035,-0.10027532216224867,0.4355815245578762,0.19682921637704667,0.8098755732772022,1.0945233866758322,-1.537410589091263,-0.20103354234507148,-0.5012544086755525,-0.02286512130567761,0.24368646248055495,-0.3279903503062468,0.7320706495028416,1.680415004022257,-0.6459631878931182,-1.0618130326972162,-0.49341235633508823,1.428599168984563
cj,1.5697301593939046,-0.5085143164736493,0.6523465951380859,0.5719199171594719,0.02255143895827035,1.0719879366884133,-0.7409031261654112,2.7662649592872923,-0.8240038911103205,0.16074430092982464,-1.3528166016858245,-0.0814547472376111,0.47812052235113833,1.3308651951932426,0.054614484904344424,1.3333269819618891,-0.21902671230960907,-0.2571930192664716,1.0800440550846788,1.1446299023533972,-1.5783970715920597
mm,-0.2035615771101777,-0.5491265590169543,0.3453748167842876,0.41347645256910415,-0.8766017851200396,1.0606790050137873,0.5474619152188623,0.21396846403647857,0.7552546302091654,-0.3354432634450522,-0.9465771150217321,-0.16116546489026867,0.4471803122664639,0.6133484595231726,-0.41303923371960555,-0.8844587520649811,-0.0634039552916041,-0.7082249461446615,-0.2924149370907786,0.150123649362379,-0.7200241972725063
sm,-0.3899250586899994,-0.11557114058311833,0.542596745755623,-0.9879231105277833,-1.2181369081463982,0.5899428824191347,0.8159321187894133,0.41486515901778415,-0.08984764738688938,-1.091770959982933,-0.7123923221362531,0.35046104860656346,-0.573597918468981,0.27207556002316813,-0.23828043367872084,-0.25093523901472203,0.10630885774553428,-0.1394687067566102,-0.016810491218381653,-0.5704803256126318,2.2581379923530904
sj,-0.38844922380697317,-0.030745489036236247,1.010681875405669,-0.9823299593062764,0.7127124143923808,-0.6386037927405694,0.9597992464601651,0.057707019165999435,-0.6977016209675894,-0.5340040265890642,-0.6476133568053579,0.08519761780937966,-1.5361551037489731,0.08610541623752478,-0.26107481543043015,-1.0040224551576957,-0.8343324323180997,-1.4450436910804219,0.8174034470466915,-0.35161008923918435,-1.0487745377717157
ab,0.0530035297457732,-0.6826609522590954,1.7555193678417693,-0.6858791316832161,1.3280960488128892,0.9620023985957467,-1.5498245252795182,1.3776258517252786,-0.6620896565414564,-0.5877759748357673,2.458953937364031,0.6013279301394014,-0.5336144537219938,-0.8547309892096272,-1.1548711754647072,0.37660453882165296,1.2435059508460107,-1.3481855626546748,-0.7733919807912207,-0.606246099198094,-0.4007857343246031
bv,1.314804085053777,-0.41143439604075743,-0.33189192236563075,-0.021122957778474866,0.174462334578226,1.9833238154839063,-0.9509932498664001,-2.1244823820543277,1.8734141356824052,1.222204965277139,0.20942587574812493,1.5392519446700503,0.38286879783796923,-1.718077928514878,-0.24639663249266813,0.7497599282045938,-2.0575956853724615,-0.2811885438954738,1.0703580107480868,-0.4891155287846424,-0.12894393354540082
cv,-0.21644431587793594,-1.2660468164823617,1.156738402507348,-0.8530320010012526,1.7410170431190892,-0.2893468442495459,-0.16913096004190117,-0.7284078019884356,0.2221221962727423,2.3813009800784077,-1.1283082149528274,-1.0698767309535961,-0.3643489657754981,-0.08989215270622967,-0.23673347007433054,-1.0435514592188955,0.017808195296074393,1.5689105872660418,-0.9758149708423121,0.447650741428413,-1.5224955113462746
hr,-0.31503990659986497,-0.5251644277013664,1.1891975790659286,-0.005202509119486829,0.06314774676346947,0.7122613040406586,1.0577576060312361,-0.5631005721088658,-1.5797890726770696,-0.5676886960793724,-0.8176182560537144,-0.4024984819734177,0.9769647932477368,-0.5300164958692175,-0.34196889895517985,-0.3330440868401034,-1.137019281618649,-1.3151966888576718,-0.24817375076901627,-1.3666905437454895,0.07485138956688718
