,Alcohol,Accidents,Taccidents,Heart,ChronicDis,Liver,Cancer,DiabetesM,Drugs,HIV,Homicide,Pneumonia,NervousSystem,Suicide
Belgium,0.14230547566006305,0.5921199990353175,-0.017256508782031804,-0.7912326437129575,-0.5038078734757239,-0.20577478686315054,-0.31731982287239857,-0.7918814228616694,-0.12389914763854312,-0.4468803673496937,-0.12379561636140952,0.6594107625490856,0.25909269789421796,0.8500156326150101
Bulgaria,-0.9359584266168383,-0.7272684904757567,1.1035316128817259,0.04930245454480125,1.3835176921820616,0.9244288575436338,-0.5235948635344625,0.02097143598680287,-0.7508586899058696,-0.4977741637782041,0.18307802419645094,-0.6054703898281576,-0.9975019750793651,-0.5129946963094537
Czech Republic,-0.6591503800621711,0.8895754952874683,0.535615484119218,1.2658907219501514,0.20030228102969874,0.3959085059563067,0.44945063676087815,1.3279532695563199,-0.6389016287867042,-0.640276793778033,-0.3347712442449388,0.33671557093541143,-0.3398865703217782,0.1956981741818565
Denmark,2.871761562617712,-0.8805584394645952,-1.0026474076944627,-0.6681209987888019,-0.41846118808112714,-0.31934114340257613,0.8118902004948649,0.13149090363725308,0.41349474573345113,-0.48759540449250205,-0.5649264746633342,0.5712120767718125,0.0739064185634979,-0.35349348760552696
Germany,0.9373239349507936,-0.7163192084051253,-0.7581801999490123,-0.3095352390165338,-0.3272954105005352,0.16549984028497186,-0.2550130946518516,0.20065469952172826,1.6450224180442714,-0.29419897806416284,-0.6320550835353662,-0.35557411345921686,-0.3992649364398448,-0.08886648225583074
Estonia,0.5253305633345445,1.0200544399624916,-0.039822712573919394,0.862460747723928,0.5145332590734407,1.0172475143306643,0.9921820098138914,-1.0107812716919158,-0.43737891877220636,2.5660323812181174,2.3503731106363417,-0.5564711199518948,-0.6527363368063412,0.6760143140289082
Ireland,-0.8522722730072878,-1.1433412091597468,-1.3449014985380936,-0.3521120493688851,-0.6046721380329743,-0.7746985537577733,0.35824419204654656,-0.4966874899114348,-0.7284672776820365,-0.5486679602067145,-0.6895938911399652,0.9646062149212378,0.3221822118946635,-0.4658693391923845
Greece,-0.9713641069901098,-1.0128622644847236,0.655968571009286,-0.6355375620694482,-0.2050944745946355,-0.8500454633848923,-0.3096309074749689,-0.7277088287420531,-0.7508586899058696,-0.37562905234977934,-0.3251814429775056,-1.320159740451935,-0.7139702768655974,-1.354001069475612
Spain,-0.8748031605175514,-1.1561153715754835,-0.8221177773593609,-0.7535265532825715,-0.6725615468695852,-0.49296663080419806,-0.8231974290204932,-0.289196102258009,-0.6612930410105373,0.5506380426491084,-0.5841060771982005,-0.5389713807103723,0.32960450765942195,-0.8428721961289383
France,0.22277293105386164,0.515475024540898,-0.6039778073711127,-0.8274271314089404,-0.5212651500337094,-0.3466407483399381,-0.43530490397087956,-0.5059568646176015,-0.21346479653387546,-0.1109813109215257,-0.6416448848027994,-0.6838692216301783,0.3826739223774439,0.35882441035632695
Croatia,0.5800484330023276,2.0100520271820734,1.4269805338987833,0.8392828391297484,0.9645430547904053,0.7955747222392855,1.963106429999596,1.2502331277892293,-0.347813269876874,-0.4977741637782041,-0.27723243664033986,-0.9190657170362401,-0.5629265580527657,0.9352037781727889
Italy,-0.9617080123428539,-0.7382177725463881,-0.34070542979908913,-0.5137695640203174,-0.83355643068212,-0.6218207661085463,-0.4517432748205557,0.41884151952842336,-0.3925960943245401,0.32670533836366306,-0.5936958784656338,-0.8630665514633682,-0.16880265294409902,-1.1038741740080908
Cyprus,-0.8587096694387917,-0.04567568157895708,0.686056842731803,-0.5678513507400692,-0.818038851519466,-0.9068286416546051,-1.4568701117741345,2.8973297101927127,0.0,-0.151696348064334,0.2885658381382156,-0.9365654562777626,-0.12649556708497658,-1.3975013991221374
Latvia,1.8514342282243457,1.8640615995736558,1.739146353019897,2.1062578643485326,1.755939592085756,0.3948165217588121,0.8503347774820103,-0.004697601661043583,-0.347813269876874,3.6348021062168336,3.788843300751313,-0.7118688044166142,-0.8746629801726149,1.3013315526977112
Lithuania,-0.8619283676545435,2.735441964361399,1.4232194999334686,3.478289279608325,1.9479696342235984,1.2836916585193168,0.6323937962169497,-0.9858252628676206,-0.6165102165628711,-0.1822326259214401,2.8010937702057,-0.595670535852905,-0.8486849449959608,3.2842215790851625
Luxembourg,0.42233222043048224,0.1806094812140906,-0.032300644643290306,-0.7382425700791634,-0.8801091681700818,-0.2614659809353689,-0.5843107816727819,-0.3298387452004326,1.0180628757769445,-0.039729995921611194,-0.23887323157060736,-0.38917361280294,-0.017016704554791574,0.3171365944450733
Hungary,-0.012192038696030296,0.6021568409333963,0.7311892503155781,1.699216839145679,2.4173764038938796,1.807844073316666,2.2343395490192512,0.4309630095287954,-0.594118804339038,-0.6097405159209268,0.08718001152211963,-1.0310640481819837,-0.7577618218776715,1.2451436269042828
Malta,-0.9810202016373655,-1.3687139317802417,-1.3260963287115204,-0.17063574331083567,-0.49992847868506035,-1.1033857972036112,-0.9393265650230432,1.5133407636796556,0.0,-0.039729995921611194,-0.4498488594541365,0.1974176465728928,-0.6104292509472189,-0.8193095175704037
Netherlands,-0.12484647624734824,0.20889512656322107,-0.7882684716715294,-0.849345371057784,-0.6298882041722872,-0.9952793616516576,0.5918281391201692,-0.379750762849023,-0.3030304454292078,-0.5384892009210124,-0.5169774683261685,-0.2533756362887256,0.3325734259653252,-0.1595545179314347
Austria,0.8761686688515065,-0.23637567764245226,-0.2918119882499991,-0.015528507175149763,-0.44367725422043974,0.2670543706519584,-0.48515028654731646,1.203886254258395,2.4063304336545963,-0.2636627002070566,-0.5936958784656338,-1.1591621394299283,-0.3317220449805441,0.42044987735557127
Poland,0.6315476044543588,0.07202910068032954,1.0734433411592088,-0.3402711612827283,0.5785432731193885,0.18187960324738905,1.1350897822005923,0.13077787481370168,-0.7508586899058696,-0.3654502930640773,-0.3923100518495376,1.5063981418387726,-0.9763484321498039,0.3769495477090458
Portugal,-0.8233039890655203,-0.989138819998356,0.34380275188817194,-0.8263354183229827,-0.33699389747719394,-0.49078266240920915,-0.5312837789318914,1.0655586624894446,-0.5493359798913718,2.952825234074796,-0.1717446226985753,2.056589943592239,-0.33951545553354034,-0.3226807541059048
Romania,-0.6913373622196906,0.1222133101707235,1.957286323008145,0.6777932803376944,1.936331449851608,3.4403604485709094,0.3614258122110001,-0.7740557022728871,-0.7508586899058696,0.18420270836383418,0.39405365207998033,0.7098100115646707,-0.7807709387484223,-0.13236681190235622
Slovenia,3.061664757347077,0.8722391320089689,0.43406756705572297,-0.626132033944274,0.00439284410119289,0.6863763024898378,1.2952313304780805,-0.570842487560769,0.0,-0.640276793778033,-0.4210794556518371,0.6559108147007813,-0.7796575943837085,1.5514584481652323
Slovakia,-0.2535944048774261,0.5428482297174767,0.9154799146159948,1.7703461455923095,1.2438594797181757,1.624390728137594,1.550291213661764,-0.43465398226247237,-0.7508586899058696,-0.650455553063735,-0.3347712442449388,2.020890475539533,-0.4964970109581788,-0.5383698886032603
Finland,0.1165558899340476,0.8476032473500481,-0.41968714307069654,0.03620189751330854,-0.5716972823123349,0.5225786728656662,-1.1387080953287918,-1.1391264599311484,-0.056724910967043796,0.0,0.11594941532441909,-1.7891527521247368,4.239669916534103,0.23557347635783826
Sweden,-0.33406186027122475,-0.07578620727319306,-1.2884859890583742,-0.4812701052306528,-1.008129196261977,-0.8161939532625635,-0.798539872745979,-0.2970394193170732,-0.2582476209815416,-0.5690254787781185,-0.1909242252334416,-0.5417713389890159,0.11361570090495492,0.03075942427211422
